current_source,archive_path,sha256,successor_canonical,content_status,production_status,redirect_required
source/docs/All-in-one-routing-system-OpenWRT.md,archive/legacy-docs-2025/source/docs/All-in-one-routing-system-OpenWRT.md,c9ed0137ca55f8fdae0dae928a4fad08f886fb18b2d9948caee41882467a1874,/docs/hardware/openwrt-usb-install,archive-retired,published-historical,yes
source/docs/Basic-functions-of-dedicated-systems.md,archive/legacy-docs-2025/source/docs/Basic-functions-of-dedicated-systems.md,76b8a423d2d3ac2c6eeb46a6da5c1c30e1b1dfb2131f1d5889ebcf262b2a53f8,/docs/zimaos/app-store/jellyfin-setup,archive-retired,published-historical,yes
source/docs/Build-a-75-inch-4K-Arcade-with-ZimaBoard-and-Batocera.md,archive/legacy-docs-2025/source/docs/Build-a-75-inch-4K-Arcade-with-ZimaBoard-and-Batocera.md,1ab47c9f00ef35fa24efc78d9976708208ab058a2c740f29dfa6aac38bd33fe7,/docs/zimaos/app-store/batocera-arcade-setup,archive-retired,published-historical,yes
source/docs/DownloadLLMmodels.md,archive/legacy-docs-2025/source/docs/DownloadLLMmodels.md,18fbfd5b593fad7f19c99bd3026d78aa424defceb06f73a20764e65f7b0a9f38,/docs/zimaos/app-store/llm-manual-download,archive-retired,published-historical,yes
source/docs/ForgotPassword.md,archive/legacy-docs-2025/source/docs/ForgotPassword.md,1e79a066eca53f5b53c28f244460dee158bfbe8d93097c44ca730061400e1f83,/docs/zimaos/password-recovery,archive-retired,published-historical,yes
source/docs/GetNetworkID.md,archive/legacy-docs-2025/source/docs/GetNetworkID.md,15baf3ed5089f3bf2766a9581967b2736096f42d413302c71d10c21163ee7d8a,/docs/zimaos/remote-id,archive-retired,published-historical,yes
source/docs/Hardware-Interface-Introduction.md,archive/legacy-docs-2025/source/docs/Hardware-Interface-Introduction.md,bdc5291a2db694afc167af169ac331827cbf040ea20bfcac3bfe7d08c8a4dddb,/docs/hardware/hardware-interface,archive-retired,published-historical,yes
source/docs/How-to-set-up-a-NAS-with-ZimaBlade.md,archive/legacy-docs-2025/source/docs/How-to-set-up-a-NAS-with-ZimaBlade.md,bce22b58515286c97bdad22e4ac1ca3e4185e1de3b024fd1fe548ca905028788,/docs/hardware/power-on-zimablade,archive-retired,published-historical,yes
source/docs/index.md,archive/legacy-docs-2025/source/docs/index.md,556c87f3bf692ff7fc46cabff802bed81d7e11c439bd2778edbabc6a83687d3a,/docs/hardware/zimaboard-quick-start,archive-retired,published-historical,yes
source/docs/MineCraft-Friendship-Service.md,archive/legacy-docs-2025/source/docs/MineCraft-Friendship-Service.md,adf97ceffd9141ad395d4e28b7a848868ea8e22e1afb2fcf585fd1fafd9fd9f4,/docs/zimaos/app-store/minecraft-friendship-service,archive-retired,published-historical,yes
source/docs/Openwrt-eMMc-boot.md,archive/legacy-docs-2025/source/docs/Openwrt-eMMc-boot.md,657617399f483c178f0ad6ea556ff31994b0b8810af3a9096270ff5aad1ea8dd,/docs/hardware/openwrt-emmc-boot,archive-retired,published-historical,yes
source/docs/Self-Deploying-Applications.md,archive/legacy-docs-2025/source/docs/Self-Deploying-Applications.md,0c5e862d590d1573671117130f489137fb2825bfa4529a9bb63f9b51d5eae850,/docs/zimaos/app-store/self-hosted-apps,archive-retired,published-historical,yes
source/docs/Small-body-Big-applications-OMV-First-Experience.md,archive/legacy-docs-2025/source/docs/Small-body-Big-applications-OMV-First-Experience.md,759cae7366a16e5384b40e78b9067aa359d4ee305c6504e91563f6ed0aac08c2,/docs/hardware/openmediavault-setup,archive-retired,published-historical,yes
source/docs/Small-body-Big-applications-OMV-install.md,archive/legacy-docs-2025/source/docs/Small-body-Big-applications-OMV-install.md,73e48786ba03c6ba3dd1094859db8491910c3a4ad08ce0d1f74bd9f18bb5fb9a,/docs/hardware/openmediavault-install,archive-retired,published-historical,yes
source/docs/Speedlimit.md,archive/legacy-docs-2025/source/docs/Speedlimit.md,b23e0c6e4cb9e7ca7c87f1d99a79b7e139a898c07571a1ae4ca8d921e470c2f9,/docs/developer/nas-transfer-speed-troubleshooting,archive-retired,published-historical,yes
source/docs/Ubuntu-Server-is-best-suited-for-Personal-Server.md,archive/legacy-docs-2025/source/docs/Ubuntu-Server-is-best-suited-for-Personal-Server.md,8c98fe4994038cd87962571940433b973f48f525f149735893b4bc18ae97ce02,/docs/hardware/minimal-ubuntu-server-build,archive-retired,published-historical,yes
source/docs/Universal-third-party-system-installation-tutorial.md,archive/legacy-docs-2025/source/docs/Universal-third-party-system-installation-tutorial.md,7b1040ded80168fb9e7f1ad11588f9147023b90364af190e2ac4c0a4155f3812,/docs/hardware/third-party-os-install,archive-retired,published-historical,yes
source/docs/Unraid-First-Experience-At-$129-Five-drive-Disks-Nas.md,archive/legacy-docs-2025/source/docs/Unraid-First-Experience-At-$129-Five-drive-Disks-Nas.md,08d4eef60842c3dd0c426684483b00a33a8bc1310cdbc9557e1a1e4dd8c81396,/docs/hardware/unraid-install,archive-retired,published-historical,yes
source/docs/Unraid-First-Experience-at-$129-Installation.md,archive/legacy-docs-2025/source/docs/Unraid-First-Experience-at-$129-Installation.md,36c6819a7a55ad757bd102cce3ad95e8efd9f34d0c029c330ed5877142ac9e2f,/docs/hardware/unraid-install,archive-retired,published-historical,yes
source/docs/UseSambaviacomputer.md,archive/legacy-docs-2025/source/docs/UseSambaviacomputer.md,175f5556835fbcdb1f4cb7abb74f61af8b529b7673ae34e00ae4e5b9ec8e4939,/docs/zimaos/samba-member-setup,archive-retired,published-historical,yes
source/docs/VR-Audio-And-Video-Experience-Oculus.md,archive/legacy-docs-2025/source/docs/VR-Audio-And-Video-Experience-Oculus.md,65e21922f971aa9202f4cbe60f22136ee81de43621ff5b6a0baa09326735df8f,/docs/zimaos/app-store/oculus-quest-media-server,archive-retired,published-historical,yes
source/docs/ZimaCube-Motherboard-DIY-Fan-Guide-and-Specifications.md,archive/legacy-docs-2025/source/docs/ZimaCube-Motherboard-DIY-Fan-Guide-and-Specifications.md,8ac12299fc4b58ebffb44280c5a4691e1c193b50b8c78df25b604d6f06a89c03,/docs/hardware/zimacube-fan-diy,archive-retired,published-historical,yes
source/faq/How-to-check-IP-address.md,archive/legacy-docs-2025/source/faq/How-to-check-IP-address.md,3b425f049ca5a07bbc05566323c7c48a8056a3709eca7bad42d82e260d557fbb,/docs/help-center/find-ip-address,archive-retired,published-historical,yes
source/faq/index.md,archive/legacy-docs-2025/source/faq/index.md,ec1e1bf43de3aa84ab84caf58f6849c1bd8238adbef65b3c4791e8a151a9c545,/docs/help-center,archive-retired,published-historical,yes
source/faq/Restore-factory-settings.md,archive/legacy-docs-2025/source/faq/Restore-factory-settings.md,138e42275ae7f6c15cb9512a4c9af65b4b884e9a22cddf8e03c0c3acf57875e4,/docs/help-center/restore-factory-settings,archive-retired,published-historical,yes
